+--------------------------------------------+---------------------------+----------------------+-----------+--------------------+--------------------+---------------------------+--------------------+--------------------+
| Способ отбора родителей/Метод рекомбинации |      Тип рекомбинации     | Значение вероятности | Тип числа | Результат точка 1  | Результат точка 2  |          Функция          |     Надежность     | Ср. число итераций |
|                 Элитарная                  |        Двуточечная        |  Малая вероятность   |  Код грея |        001         |        010         |            (0,)           | 0.9803921568627451 |         1          |
|                 Элитарная                  | cxSimulatedBinaryBounded  | Большая вероятность  |  Код грея |        001         |        010         |            (0,)           | 0.9803921568627451 |         1          |
|                 Элитарная                  | cxSimulatedBinaryBounded  |  Малая вероятность   |  Код грея |        001         |        010         |            (0,)           | 0.9803921568627451 |         1          |
|                  Рулетка                   |        Одноточечная       | Большая вероятность  |  Код грея |        001         |        010         |            (0,)           | 0.9803921568627451 |         1          |
|                  Рулетка                   |        Одноточечная       |  Малая вероятность   |  Код грея |        001         |        010         |            (0,)           | 0.9803921568627451 |         1          |
|                  Рулетка                   |        Двуточечная        | Большая вероятность  |  Код грея |        001         |        010         |            (0,)           |        1.0         |         0          |
|                  Рулетка                   |        Двуточечная        |  Малая вероятность   |  Код грея |        001         |        010         |            (0,)           |        1.0         |         0          |
|                  Рулетка                   | cxSimulatedBinaryBounded  | Большая вероятность  |  Код грея |        001         |        010         |            (0,)           | 0.9803921568627451 |         1          |
|                  Рулетка                   | cxSimulatedBinaryBounded  |  Малая вероятность   |  Код грея |        001         |        010         |            (0,)           | 0.9803921568627451 |         1          |
|                   Турнир                   |        Одноточечная       | Большая вероятность  |  Код грея |        001         |        010         |            (0,)           | 0.9803921568627451 |         1          |
|                   Турнир                   |        Одноточечная       |  Малая вероятность   |  Код грея |        001         |        010         |            (0,)           | 0.9803921568627451 |         1          |
|                   Турнир                   |        Двуточечная        | Большая вероятность  |  Код грея |        001         |        010         |            (0,)           | 0.9803921568627451 |         1          |
|                   Турнир                   |        Двуточечная        |  Малая вероятность   |  Код грея |        001         |        010         |            (0,)           | 0.9803921568627451 |         1          |
|                   Турнир                   | cxSimulatedBinaryBounded  | Большая вероятность  |  Код грея |        001         |        010         |            (0,)           | 0.9803921568627451 |         1          |
|                   Турнир                   | cxSimulatedBinaryBounded  |  Малая вероятность   |  Код грея |        001         |        010         |            (0,)           | 0.9803921568627451 |         1          |
+--------------------------------------------+---------------------------+----------------------+-----------+--------------------+--------------------+---------------------------+--------------------+--------------------+
